Gene,Value,Normalized_Value
NT5C,431457,215.7285
SLC23A1,431462,215.731
PPFIA4,431681,215.8405
MYOG,430876,215.438
USH1C,431493,215.7465
CSMD2,2000000,1000
SETD1A,431011,215.5055
CHRNA2,430823,215.4115
TIAM1,430885,215.4425
BDH1,430718,215.359
TMEM125,2000000,1000
C1orf210,2000000,1000
CCDC148,2000000,1000
CLEC17A,2000000,1000
GPN2,430718,215.359
Sep-10,430895,215.4475
ARID1A,430542,215.271
RAB4A,430385,215.1925
CYP19A1,431003,215.5015
COL4A1,430514,215.257
CD207,2000000,1000
CRLF1,431503,215.7515
TMEM59L,431416,215.708
RPS6KL1,2000000,1000
DERA,431830,215.915
ST6GALNAC3,2000000,1000
CDH15,431294,215.647
SLC10A4,2000000,1000
ZAR1,2000000,1000
GPA33,431256,215.628
PAQR5,2000000,1000
DNMT3B,430495,215.2475
MAPRE1,430188,215.094
FUT2,2000000,1000
RASIP1,2000000,1000
ADAMTSL3,431191,215.5955
POLE2,430476,215.238
TTLL1,2000000,1000
CHST12,431088,215.544
OLFM3,430571,215.2855
NRCAM,430535,215.2675
SYNPR,431435,215.7175
DCP1A,2000000,1000
CPNE7,432030,216.015
UBE4A,431418,215.709
ZDHHC4,431600,215.8
C7orf26,431905,215.9525
HECW1,430877,215.4385
ACVR1,430075,215.0375
NEGR1,2000000,1000
ABHD1,2000000,1000
TUBG2,432263,216.1315
PLEKHH3,2000000,1000
NUMB,430199,215.0995
ENOX1,2000000,1000
EMB,2000000,1000
ATAD2B,430692,215.346
TRIM29,431084,215.542
TEK,430118,215.059
KL,430488,215.244
GPHB5,2000000,1000
DNAJB1,430218,215.109
NRAS,430275,215.1375
CSDE1,431107,215.5535
STXBP4,2000000,1000
OR2F1,431541,215.7705
SIPA1L3,431179,215.5895
UNC45B,432145,216.0725
KRTAP4-3,2000000,1000
KRTAP4-2,2000000,1000
KRTAP4-1,2000000,1000
NDUFA6,431076,215.538
ZC3H10,2000000,1000
FMO1,431078,215.539
LMBRD1,431763,215.8815
LTF,430633,215.3165
ZBTB7C,431253,215.6265
UBR5,429920,214.96
VANGL1,430589,215.2945
UCK2,430746,215.373
KCTD13,2000000,1000
COX11,430931,215.4655
ZNF765,2000000,1000
EPB41,430679,215.3395
SUCLG2,430648,215.324
NDUFB7,431429,215.7145
SCARB2,430397,215.1985
NCAPD3,430595,215.2975
GTF2H1,430396,215.198
BIN1,430508,215.254
KIF23,430427,215.2135
RPLP1,430673,215.3365
MSGN1,431586,215.793
TP53RK,2000000,1000
OSCAR,2000000,1000
NDUFA3,432196,216.098
TFPT,430718,215.359
PRPF31,430471,215.2355
LASP1,431469,215.7345
TIMP2,430452,215.226
NR0B2,431013,215.5065
NUDC,430491,215.2455
REV3L,430457,215.2285
TSEN2,430930,215.465
GRIP1,430874,215.437
TOP1,429884,214.942
OR56A4,2000000,1000
CALCOCO2,430935,215.4675
ABCG5,431545,215.7725
ABCG8,430493,215.2465
GRK4,430939,215.4695
CDCP1,431848,215.924
MYLK3,431389,215.6945
OR5J2,2000000,1000
NRG3,431435,215.7175
CEP192,431320,215.66
PLD3,430682,215.341
HIPK4,430960,215.48
SEMA4A,431300,215.65
PLXNA4,2000000,1000
FBLN5,432011,216.0055
EPHX1,431419,215.7095
TMEM63A,2000000,1000
NDUFAF2,431329,215.6645
GPHN,431270,215.635
QTRT1,430464,215.232
TFCP2,430982,215.491
POU6F1,431431,215.7155
KCTD16,2000000,1000
TCTEX1D2,432135,216.0675
GRIP2,2000000,1000
CUEDC2,431537,215.7685
SCG5,430595,215.2975
PITX1,2000000,1000
CHIT1,2000000,1000
LIPA,430572,215.286
IFIT2,431537,215.7685
PATE2,2000000,1000
THAP2,2000000,1000
DAB1,430363,215.1815
MYO16,431017,215.5085
EML5,431733,215.8665
FBXW9,430603,215.3015
TNPO2,432007,216.0035
GTF2A1,430841,215.4205
MARCO,432386,216.193
PPP1R14D,431505,215.7525
XKR4,431435,215.7175
CTBP2,430462,215.231
IL17F,2000000,1000
ZNF692,432004,216.002
ARL6IP4,430848,215.424
POU6F2,430923,215.4615
TMEM108,2000000,1000
GPATCH3,2000000,1000
URB1,431392,215.696
NPY2R,430367,215.1835
STK10,431541,215.7705
DLG1,430484,215.242
LRRN2,431337,215.6685
MYO5B,431586,215.793
ROBO3,430692,215.346
GPR75,431435,215.7175
PSME4,430578,215.289
GALP,2000000,1000
ZSCAN5B,2000000,1000
OGFOD2,431479,215.7395
CYP2R1,431766,215.883
ZFYVE21,2000000,1000
PPP1R13B,430834,215.417
CBFA2T3,431586,215.793
LRRC18,2000000,1000
XYLT2,431803,215.9015
MRPL27,430633,215.3165
STOX1,2000000,1000
RGS18,430718,215.359
MAP1A,430694,215.347
SHCBP1,430838,215.419
MON1A,2000000,1000
RBM6,431483,215.7415
SLC25A41,431213,215.6065
XKR6,2000000,1000
OR10J5,2000000,1000
PTK2,430255,215.1275
RAB31,430422,215.211
DNM1,430452,215.226
DAPK2,430376,215.188
RPL13A,430728,215.364
RIC3,2000000,1000
ZNF672,2000000,1000
KCTD8,2000000,1000
MPPED1,431135,215.5675
ITGAL,430974,215.487
C3orf49,2000000,1000
THOC7,430558,215.279
AFTPH,432028,216.014
ZNF512,430879,215.4395
CCDC121,2000000,1000
SPTLC3,2000000,1000
OSR1,431932,215.966
CNTN3,430718,215.359
SLC14A2,431453,215.7265
POU1F1,2000000,1000
NUF2,430642,215.321
EPHB2,430652,215.326
GALNT13,432148,216.074
IFIT3,430565,215.2825
HTR3C,431757,215.8785
CXCL17,2000000,1000
LETM2,430718,215.359
ERBB4,430393,215.1965
SLIT2,431170,215.585
ASXL2,430538,215.269
SLC2A10,431559,215.7795
RP1,2000000,1000
TPTE,2000000,1000
STARD10,430718,215.359
SLC4A1AP,430178,215.089
SORL1,430423,215.2115
MCM10,430210,215.105
KCNA5,430765,215.3825
PGPEP1,431271,215.6355
SLC5A12,431436,215.718
MAML3,430718,215.359
VPS35,430328,215.164
P2RX5,2000000,1000
KCNIP4,430623,215.3115
PGR,430284,215.142
OR2F2,431906,215.953
ACAA2,430628,215.314
APTX,430848,215.424
ARHGEF4,431435,215.7175
FAM168B,2000000,1000
DNAH11,2000000,1000
PCDH17,2000000,1000
COPZ2,431759,215.8795
NFE2L1,431230,215.615
COL9A1,431170,215.585
CDYL2,2000000,1000
PARP4,430713,215.3565
PXDN,431436,215.718
KIAA2026,431543,215.7715
AHSA1,430146,215.073
ISM2,2000000,1000
DENND4B,431974,215.987
CRTC2,430889,215.4445
TMED4,2000000,1000
ZNF679,431705,215.8525
COL16A1,431269,215.6345
ZDHHC3,431600,215.8
TBC1D22B,431406,215.703
ZSWIM6,431830,215.915
EXOC3,430576,215.288
CUL2,430330,215.165
SPDEF,431037,215.5185
COMMD7,2000000,1000
STAC3,431935,215.9675
ERGIC1,2000000,1000
RPL26L1,430578,215.289
NLGN2,2000000,1000
SPEM1,432240,216.12
TMEM102,2000000,1000
TNS3,430712,215.356
PRTFDC1,2000000,1000
CST8,431337,215.6685
ADCY1,430220,215.11
HS3ST5,2000000,1000
CDH10,431008,215.504
ENGASE,432028,216.014
ADAM11,431491,215.7455
PIK3C2G,430931,215.4655
TARBP1,431451,215.7255
SOX9,431103,215.5515
C9orf129,2000000,1000
TSHZ1,431932,215.966
RHCG,2000000,1000
COL8A1,2000000,1000
SLC22A7,431284,215.642
CRIP3,2000000,1000
RAB27A,430524,215.262
EIF4A2,430335,215.1675
RFC4,430307,215.1535
ADAM18,431053,215.5265
DISP1,2000000,1000
TOM1L1,2000000,1000
TRIM71,431177,215.5885
PCCA,432580,216.29
JPH3,2000000,1000
ST14,2000000,1000
ZNF7,431705,215.8525
FURIN,430390,215.195
FES,430677,215.3385
DCHS1,431233,215.6165
HS3ST3B1,2000000,1000
SDK1,2000000,1000
PFKFB3,431293,215.6465
LINGO1,430613,215.3065
RBMS3,430344,215.172
PLCXD3,431533,215.7665
RASL10B,430718,215.359
GAS2L2,2000000,1000
SLN,431480,215.74
ZNF429,431705,215.8525
MAEL,432133,216.0665
FCHSD2,430927,215.4635
CEBPZ,430370,215.185
GRID1,431435,215.7175
ALMS1,431124,215.562
HIST1H3E,430751,215.3755
DNAJC17,430768,215.384
ZFYVE19,2000000,1000
PACRGL,2000000,1000
ERI1,431574,215.787
ZCCHC2,2000000,1000
MYOT,430718,215.359
PKD2L2,2000000,1000
SAG,431234,215.617
NAALADL2,430692,215.346
Dec-01,431555,215.7775
MTFR1,431093,215.5465
PDE7A,431819,215.9095
TUB,431157,215.5785
ISOC2,430699,215.3495
CYP39A1,431321,215.6605
CREB3L4,431197,215.5985
JTB,430532,215.266
RAB13,431217,215.6085
RPS27,430910,215.455
THAP5,2000000,1000
TMEM219,2000000,1000
TAOK2,432137,216.0685
SPC25,431035,215.5175
FZD4,430686,215.343
HIRIP3,430352,215.176
STXBP5L,431422,215.711
CLIP1,431249,215.6245
NR4A1,430353,215.1765
SLC44A2,2000000,1000
HPGD,430493,215.2465
LIMK2,430870,215.435
CHCHD6,430718,215.359
ACTR1A,430608,215.304
ZNF738,2000000,1000
PHACTR1,2000000,1000
MYH11,430125,215.0625
DNAJB9,430453,215.2265
ST13,430393,215.1965
KCNJ11,431826,215.913
PLEKHJ1,430592,215.296
SF3A2,430742,215.371
FBXL15,431298,215.649
SLC39A1,431555,215.7775
SLC25A17,431334,215.667
MMEL1,2000000,1000
SBNO2,432060,216.03
XYLT1,431033,215.5165
YIPF5,431050,215.525
ZC3H14,430748,215.374
SEMA3C,430593,215.2965
CXCR4,430312,215.156
TAOK3,430922,215.461
SUDS3,430838,215.419
MAPT,430260,215.13
TRAPPC9,430718,215.359
ASPHD1,2000000,1000
CNTN2,430542,215.271
TMEM81,2000000,1000
MORC2,431546,215.773
AATF,430814,215.407
SMARCAL1,431306,215.653
BAG5,430953,215.4765
PIGN,431139,215.5695
FARP2,431988,215.994
STK25,430528,215.264
LIPG,431935,215.9675
TNC,430530,215.265
ALG8,430703,215.3515
FAM107B,2000000,1000
CBX6,430119,215.0595
ZFYVE1,430498,215.249
C2orf69,431574,215.787
HK3,431349,215.6745
BOLL,431302,215.651
CPEB3,431477,215.7385
HSPA12B,431277,215.6385
SLC16A10,431587,215.7935
LSAMP,431604,215.802
NDRG4,2000000,1000
SETD6,2000000,1000
TACR2,430555,215.2775
HIST1H3G,430735,215.3675
HIST1H2BI,430665,215.3325
COL25A1,430718,215.359
SNX14,431537,215.7685
ST8SIA1,2000000,1000
Mar-01,431298,215.649
RFX7,431705,215.8525
IQCK,2000000,1000
MLH3,431204,215.602
CPLX3,2000000,1000
ULK3,431052,215.526
SCAMP2,431509,215.7545
STRBP,2000000,1000
SMYD4,2000000,1000
TEKT5,2000000,1000
MAPK9,430112,215.056
SLC12A6,430866,215.433
PPM1A,430402,215.201
UNC5C,430835,215.4175
DOCK10,432051,216.0255
DEFB125,2000000,1000
EVC,431993,215.9965
VRK3,430920,215.46
FNDC3B,431011,215.5055
PTMA,430708,215.354
POU2F1,430419,215.2095
SHMT1,430437,215.2185
SMTN,431415,215.7075
TNPO3,430914,215.457
TTC16,432145,216.0725
TOR2A,2000000,1000
MRPS15,431035,215.5175
CSF3R,430677,215.3385
OTOF,431056,215.528
ABCC5,431384,215.692
MYO1E,430938,215.469
CNTNAP2,431472,215.736
CEP170,430285,215.1425
HEATR4,2000000,1000
HECW2,430837,215.4185
HCN1,2000000,1000
ZNF235,431465,215.7325
FSCN2,2000000,1000
CHRNA1,431821,215.9105
PITPNB,430695,215.3475
EIF4E1B,431570,215.785
TSPAN17,2000000,1000
CSMD1,2000000,1000
CNOT6,430492,215.246
MPP7,430804,215.402
INO80E,2000000,1000
SPAG17,2000000,1000
CNTD1,431807,215.9035
BECN1,430603,215.3015
ZFP14,431096,215.548
OR10J1,431635,215.8175
MYL10,430607,215.3035
DLGAP1,431083,215.5415
CADM1,431278,215.639
VAPA,430347,215.1735
SYNE2,430487,215.2435
ESR2,429905,214.9525
FAM149A,2000000,1000
TMEM200B,2000000,1000
CYP2D6,430365,215.1825
CKAP5,430409,215.2045
MRPS11,430834,215.417
C1orf87,430718,215.359
ETV6,430689,215.3445
PTN,430560,215.28
CDKL4,430911,215.4555
POLG2,432076,216.038
DDX5,430362,215.181
CARS,430468,215.234
VPS13A,430995,215.4975
TNKS,430946,215.473
ZFAND3,2000000,1000
EVI5,431203,215.6015
BLNK,2000000,1000
GRIN2B,430737,215.3685
PGLYRP3,2000000,1000
RILPL2,2000000,1000
DDX56,430663,215.3315
CHCHD2,430949,215.4745
TULP1,432030,216.015
SYCE2,431531,215.7655
FARSA,430797,215.3985
MEPE,430747,215.3735
OSBP2,431225,215.6125
JPH2,431415,215.7075
SOD3,430496,215.248
MMP12,430330,215.165
CTDP1,430973,215.4865
UBTD1,431418,215.709
SLC24A2,430768,215.384
LDLRAD3,2000000,1000
GBGT1,2000000,1000
H6PD,431412,215.706
PCGF6,431989,215.9945
C1orf94,2000000,1000
ADAMTS5,431365,215.6825
LMX1A,431413,215.7065
MAP1S,430892,215.446
ZNF318,431044,215.522
NOS3,430448,215.224
ATG9B,2000000,1000
BCL2L14,430786,215.393
LRP6,430801,215.4005
CLTA,430690,215.345
JAK1,430458,215.229
CBLN1,431503,215.7515
ZNF44,431705,215.8525
EXOSC9,430485,215.2425
MEGF11,2000000,1000
PTHLH,431912,215.956
LY6K,2000000,1000
PDE6H,430629,215.3145
ANP32B,430165,215.0825
RNF168,430882,215.441
EMP2,2000000,1000
CDYL,430892,215.446
FYCO1,430712,215.356
IZUMO1,432240,216.12
FUT1,431656,215.828
FGF21,430998,215.499
HHAT,2000000,1000
SSH2,431137,215.5685
FAM178B,2000000,1000
CAD,430290,215.145
C7orf50,430529,215.2645
PYHIN1,430898,215.449
STAC,430636,215.318
AIFM3,430579,215.2895
RYR3,431104,215.552
TSHZ3,431777,215.8885
XPOT,430528,215.264
ZP4,2000000,1000
TCF20,2000000,1000
GRIK3,430865,215.4325
FSTL5,432148,216.074
FAM92B,2000000,1000
UTRN,430889,215.4445
LEMD1,432240,216.12
FGF14,430818,215.409
PLCL2,431681,215.8405
TRAF3IP2,431415,215.7075
SUSD4,431969,215.9845
THEG,431110,215.555
PLEKHG1,2000000,1000
KCNIP3,431785,215.8925
SSH3,430530,215.265
DOC2A,431918,215.959
DDB2,430847,215.4235
MDM4,430217,215.1085
KCNG2,2000000,1000
ZNF8,431546,215.773
SNTG2,431309,215.6545
ADAMTS12,431365,215.6825
TTC8,432145,216.0725
FAM69A,2000000,1000
MMP11,431250,215.625
SMARCB1,430094,215.047
CACNA1E,430960,215.48
PXN,430631,215.3155
RGS7,431276,215.638
AKR1B1,430493,215.2465
TNFSF10,430185,215.0925
ARHGAP15,430407,215.2035
IFT74,431274,215.637
HTRA3,431756,215.878
KRTAP5-2,2000000,1000
KRTAP5-3,2000000,1000
SRD5A1,431398,215.699
C16orf87,2000000,1000
NEDD4,430803,215.4015
MGAT4C,431294,215.647
GRB10,430674,215.337
FLT3LG,431925,215.9625
FOXI1,430329,215.1645
THSD7B,2000000,1000
GMDS,431589,215.7945
TBC1D23,431632,215.816
NIT2,431230,215.615
WNT16,431173,215.5865
LNX2,431362,215.681
POLR1D,430632,215.316
DNAJA4,430820,215.41
WDR61,430585,215.2925
ACSL1,430686,215.343
OR2G2,2000000,1000
VAT1L,430718,215.359
ARHGAP21,431932,215.966
AKAP1,430397,215.1985
COG7,2000000,1000
TRMT6,431130,215.565
DLC1,432148,216.074
TMEFF2,432148,216.074
NXPH2,431969,215.9845
AREG,430562,215.281
ANKS3,431190,215.595
KCNK12,2000000,1000
ADD1,431321,215.6605
CPVL,431070,215.535
KLHL38,431586,215.793
ZNF343,430621,215.3105
KLF1,431328,215.664
GCDH,431192,215.596
SEH1L,430419,215.2095
CD300E,2000000,1000
OR6X1,2000000,1000
GATAD2B,430822,215.411
UBE2O,431050,215.525
SBNO1,2000000,1000
PPFIA2,430568,215.284
S100B,430490,215.245
RUFY4,2000000,1000
DIDO1,430196,215.098
SLC25A12,431280,215.64
BSN,431020,215.51
RNGTT,430654,215.327
SCD5,431186,215.593
CLPTM1,430630,215.315
KIF6,2000000,1000
BAZ2B,430278,215.139
ZNF761,2000000,1000
AKAP6,430865,215.4325
CD109,2000000,1000
ABCA4,431699,215.8495
GLRB,430605,215.3025
FIG4,431130,215.565
SYT2,430478,215.239
TFB2M,430943,215.4715
PLEKHM1,2000000,1000
DNAJC8,430245,215.1225
PRKCH,430769,215.3845
MMS19,431278,215.639
SCARA5,432386,216.193
PSMD12,430659,215.3295
TFDP2,430845,215.4225
PSCA,2000000,1000
SAMM50,431148,215.574
FAM155A,431685,215.8425
TBX5,431256,215.628
KIAA0319L,431988,215.994
NCDN,2000000,1000
TFAP2E,2000000,1000
KIF27,432112,216.056
GABRR2,430834,215.417
FLYWCH1,2000000,1000
KREMEN2,431969,215.9845
PAQR4,431914,215.957
OSM,430718,215.359
ZNF197,431585,215.7925
ZNF35,430443,215.2215
HSPA12A,431091,215.5455
CPT2,2000000,1000
C1orf123,431863,215.9315
CPA2,430677,215.3385
SEMA5A,431288,215.644
PACRG,430413,215.2065
UHRF1,430662,215.331
SND1,430361,215.1805
NSMCE4A,430896,215.448
AGBL4,1998003,999.0015
BEND5,430718,215.359
KCNT2,431826,215.913
NR2C2,431093,215.5465
ANGPT4,2000000,1000
BCL2,430256,215.128
MMP3,431193,215.5965
ENO1,430022,215.011
TAS2R41,430555,215.2775
GPRC5A,431932,215.966
TTC39B,2000000,1000
FCGRT,431296,215.648
RCN3,430592,215.296
ADIPOQ,430246,215.123
PRDM13,431253,215.6265
LTBP2,430412,215.206
SMARCD3,430573,215.2865
DNTT,431191,215.5955
UBE2D3,430479,215.2395
CISD2,430591,215.2955
ZNRF4,430911,215.4555
PDCD1LG2,431306,215.653
YLPM1,431086,215.543
MAN2A1,431289,215.6445
GUCY2D,431709,215.8545
ISL1,430401,215.2005
PLCG1,430715,215.3575
DAGLA,431533,215.7665
FOXO3,430212,215.106
SDCBP2,2000000,1000
FKBP1A,430658,215.329
CNOT1,430243,215.1215
PKMYT1,430638,215.319
PIK3C2B,430931,215.4655
OR10Z1,2000000,1000
TMEM132C,2000000,1000
RDH10,431547,215.7735
OR6M1,2000000,1000
PRDM5,430859,215.4295
SLC39A8,431054,215.527
USP15,430776,215.388
KIF25,432091,216.0455
GLCE,430997,215.4985
ACADL,430713,215.3565
WFDC3,432240,216.12
DNTTIP1,431288,215.644
DDX1,430140,215.07
TK2,431830,215.915
SPINK4,432148,216.074
MYO3A,430870,215.435
PHACTR2,2000000,1000
CFD,431717,215.8585
MED16,430204,215.102
SH3BP5L,2000000,1000
SPAG6,430578,215.289
RPL22L1,430968,215.484
ZNF493,2000000,1000
SCNN1D,2000000,1000
ACAP3,2000000,1000
SAMD13,432098,216.049
LIG1,430822,215.411
OLFM2,2000000,1000
C16orf45,431603,215.8015
ZMPSTE24,430583,215.2915
PRKCE,430048,215.024
STARD5,2000000,1000
TMC3,2000000,1000
CHKA,430423,215.2115
SNRPB2,430712,215.356
OTOR,431906,215.953
KRTCAP2,430586,215.293
TRIM46,430660,215.33
MUC1,431282,215.641
RET,429905,214.9525
KCNQ4,2000000,1000
ATXN1,430077,215.0385
WDSUB1,432098,216.049
OSBP,431082,215.541
C2orf16,2000000,1000
AMIGO2,2000000,1000
KLF3,431321,215.6605
FAT4,431035,215.5175
TMCO2,432133,216.0665
STEAP3,431830,215.915
ACSF3,2000000,1000
LARP4,430219,215.1095
DYNC1I2,430579,215.2895
NOC3L,430556,215.278
TGFBR3,431100,215.55
GGA2,430680,215.34
MCM8,430956,215.478
POP1,431318,215.659
NFIX,432096,216.048
HOMER2,430695,215.3475
ALDOA,430424,215.212
PPP4C,430505,215.2525
TBX6,431588,215.794
RTF1,430190,215.095
CDH17,431124,215.562
GIT1,431538,215.769
C12orf73,2000000,1000
TDG,430418,215.209
ATRNL1,2000000,1000
THSD7A,431312,215.656
C11orf49,432169,216.0845
SCAMP4,431988,215.994
ADAT3,431841,215.9205
SLC4A9,431698,215.849
PDE7B,431092,215.546
FAM78B,2000000,1000
KIRREL3,2000000,1000
EYA4,430772,215.386
FAM98A,431413,215.7065
SLC41A2,2000000,1000
SMURF1,430289,215.1445
IL19,431749,215.8745
C6orf62,430554,215.277
GALNT5,2000000,1000
CNTN5,2000000,1000
MAGOHB,430587,215.2935
TRPV5,2000000,1000
NAV2,2000000,1000
HARS2,432016,216.008
ZMAT2,431168,215.584
NFATC3,431107,215.5535
RBBP9,2000000,1000
IQSEC1,432060,216.03
TBX19,2000000,1000
CLEC4F,2000000,1000
KEL,2000000,1000
IFNA8,430582,215.291
TSPAN13,430718,215.359
MYO10,431584,215.792
PDIA5,431070,215.535
KCTD18,430718,215.359
ZNF420,431074,215.537
NRSN1,2000000,1000
WDR27,432060,216.03
PRKCA,429945,214.9725
ZNF233,431705,215.8525
RSPO3,2000000,1000
P2RY13,430594,215.297
P2RY12,430594,215.297
ANKRD24,431818,215.909
APOC4,431139,215.5695
COMTD1,2000000,1000
PCP4L1,2000000,1000
KRTAP10-9,432096,216.048
LLGL1,2000000,1000
FLII,430630,215.315
SLC7A6,431714,215.857
SLC7A6OS,431592,215.796
PKD1L2,431179,215.5895
ZNF397,431156,215.578
CALCR,432212,216.106
ATP6V0A4,431630,215.815
NDUFV2,430808,215.404
ITPKA,431533,215.7665
WNT3,430860,215.43
SLC5A6,430997,215.4985
UGCG,430513,215.2565
TXN,430011,215.0055
ZNF100,2000000,1000
GNA14,430509,215.2545
NUDCD3,432209,216.1045
RAPGEF5,2000000,1000
STAP2,2000000,1000
MPND,2000000,1000
ASB10,431418,215.709
SORCS2,2000000,1000
FBXL12,431258,215.629
UBL5,431147,215.5735
PIN1,430292,215.146
TPRG1,2000000,1000
LGR4,430973,215.4865
ZYX,430973,215.4865
EPHA1,430927,215.4635
NEBL,431236,215.618
SCN8A,431410,215.705
TMEM44,2000000,1000
RAB5B,431009,215.5045
SUOX,431321,215.6605
DNAH10,432135,216.0675
CCDC92,2000000,1000
CHMP4B,431230,215.615
FAM174B,2000000,1000
BCL9L,430634,215.317
ARHGAP27,431533,215.7665
FARS2,431291,215.6455
E2F7,430907,215.4535
ATP6AP1L,2000000,1000
MTPN,431418,215.709
CREM,431275,215.6375
JPH1,430652,215.326
ZNF589,432028,216.014
PSME3,430551,215.2755
ANAPC1,430480,215.24
TIE1,430672,215.336
SIRT2,430569,215.2845
NFKBIB,430226,215.113
ASCC3,430521,215.2605
CDC16,430532,215.266
KSR2,2000000,1000
AOAH,431392,215.696
MGAT3,431092,215.546
CTNNBIP1,2000000,1000
ACBD7,2000000,1000
ASH2L,430759,215.3795
STAR,430552,215.276
TFEC,431489,215.7445
GNAI3,429954,214.977
GNAT2,430432,215.216
SLC7A13,431535,215.7675
ERBB3,430070,215.035
FBN1,430365,215.1825
SERPINB6,431659,215.8295
NUSAP1,430185,215.0925
STAMBP,430526,215.263
TRIM14,431768,215.884
PLCE1,431128,215.564
CHMP2B,430586,215.293
SLC10A2,430726,215.363
TRAIP,430321,215.1605
CAMKV,430365,215.1825
C15orf39,430718,215.359
FGFR1OP,432263,216.1315
STAT4,430608,215.304
OLFM1,430641,215.3205
ZNF346,431759,215.8795
FBLN2,432011,216.0055
AK7,431457,215.7285
MANEA,431558,215.779
NAT8,431235,215.6175
CFLAR,430700,215.35
RNF111,430866,215.433
RAD21,430244,215.122
EFNB2,430444,215.222
TBC1D4,430669,215.3345
MYBPC2,2000000,1000
PLCH1,2000000,1000
SF3A1,430639,215.3195
ATPAF2,430718,215.359
LAMA1,430718,215.359
SORBS1,2000000,1000
IL22RA1,431672,215.836
TAC1,430445,215.2225
CFH,430959,215.4795
SLC16A12,2000000,1000
SLC4A3,430963,215.4815
DNMBP,431055,215.5275
MT1X,2000000,1000
OIT3,431395,215.6975
PTPRF,430577,215.2885
PGM5,2000000,1000
LBH,2000000,1000
FASTK,431634,215.817
TMUB1,430718,215.359
MIPOL1,431179,215.5895
DUSP16,2000000,1000
OR10X1,2000000,1000
ALOX15B,431421,215.7105
XAF1,430599,215.2995
FBXO39,432240,216.12
MRPL16,430990,215.495
AVEN,431447,215.7235
GNG12,430310,215.155
TBC1D7,430602,215.301
SDHC,431130,215.565
RPS6KA5,430274,215.137
KHSRP,431204,215.602
ZHX3,2000000,1000
KCNB2,430365,215.1825
PAH,431185,215.5925
HEPACAM2,2000000,1000
LRRC32,2000000,1000
WNT4,430402,215.201
TBCC,430507,215.2535
C15orf59,2000000,1000
RXRG,430691,215.3455
CHN2,431533,215.7665
IL1R2,432130,216.065
SEMA3A,430646,215.323
XPO7,431136,215.568
RCAN2,2000000,1000
PPP3CA,430550,215.275
RRBP1,430384,215.192
EFCAB5,2000000,1000
PTK6,430298,215.149
FGF5,430642,215.321
BCAS1,2000000,1000
IPO13,431420,215.71
DPH2,431219,215.6095
ANXA10,431568,215.784
CD38,2000000,1000
ABCC1,430542,215.271
NRP2,430911,215.4555
RELN,430888,215.444
TXNDC2,431900,215.95
MFSD11,431568,215.784
HAT1,430118,215.059
EVC2,431270,215.635
LELP1,432133,216.0665
KCTD1,2000000,1000
HDLBP,430323,215.1615
ABCC4,2000000,1000
LPIN3,431993,215.9965
MAPK13,430226,215.113
PDZRN3,431325,215.6625
PID1,2000000,1000
TBC1D5,432267,216.1335
HARS,430856,215.428
ADCY8,430388,215.194
