Gene,Value,Normalized_Value
ACOXL,431007,215.5035
SGSM1,430976,215.488
NEK4,429985,214.9925
SPCS1,430236,215.118
TTC31,430572,215.286
LBX2,430874,215.437
PCGF1,430416,215.208
SRPK2,429606,214.803
ART3,431678,215.839
EIF4E2,430146,215.073
ZBED4,2000000,1000
WDR73,431570,215.785
NMB,430677,215.3385
PLA2G2F,431546,215.773
KCNQ3,431169,215.5845
OSBPL1A,431922,215.961
HEBP1,430594,215.297
C12orf42,2000000,1000
ANP32E,430873,215.4365
DCP1B,431558,215.779
TMEM173,432074,216.037
FOXR1,2000000,1000
GLG1,2000000,1000
CA14,432138,216.069
APH1A,430671,215.3355
C1orf54,2000000,1000
PRPF3,430782,215.391
NLN,430718,215.359
FHIT,430610,215.305
OR1Q1,2000000,1000
OR1B1,2000000,1000
PPM1M,2000000,1000
WDR82,430862,215.431
DPEP1,431236,215.618
TTC7B,2000000,1000
CTNNA1,430224,215.112
TCERG1L,2000000,1000
CYP2C19,431159,215.5795
SH3PXD2A,431050,215.525
PDCD11,430711,215.3555
CALHM2,431087,215.5435
ALG12,2000000,1000
PCDH8,431222,215.611
PTK7,430889,215.4445
RPRD2,2000000,1000
BRD1,430483,215.2415
MDGA2,2000000,1000
TWF2,2000000,1000
FAM184A,430455,215.2275
CAMK1D,430718,215.359
KCNG1,2000000,1000
HELLS,430175,215.0875
CXXC5,2000000,1000
PRDM14,431537,215.7685
UPK2,431640,215.82
ZNF423,431204,215.602
KCNQ1,431533,215.7665
PIAS2,430610,215.305
SIL1,2000000,1000
VPS41,430601,215.3005
CNOT7,430196,215.098
ANTXR1,431977,215.9885
PBX1,430656,215.328
FAM120A,2000000,1000
QPCT,430718,215.359
TRIM24,430331,215.1655
SVOPL,2000000,1000
RFT1,2000000,1000
POMT1,2000000,1000
CDH4,430632,215.316
BNIP2,431225,215.6125
MRPS21,2000000,1000
CPEB1,430718,215.359
NRBP1,431948,215.974
KRTCAP3,2000000,1000
TTLL6,430718,215.359
SORBS2,2000000,1000
LPAR3,430531,215.2655
PRR12,2000000,1000
LYN,430343,215.1715
MTMR7,430972,215.486
LIPC,431088,215.544
PTPRM,431054,215.527
LIMA1,430305,215.1525
CLSTN2,431503,215.7515
NDUFA13,431309,215.6545
YJEFN3,2000000,1000
