Gene	Module	kME
ARPC1B	P1_I6_M5	0.85
UNC13A	P1_I6_M3	0.95
KLHDC7B	P1_I6_M1	0.92
HRC	P1_I6_M16	0.99
OR11H1	P1_I6_M1	0.99
SULT4A1	P1_I6_M3	0.99
ZNF557	P1_I6_M1	0.99
OLFM1	P1_I6_M3	0.96
SAG	P1_I6_M1	0.99
ZBTB46	P1_I6_M1	0.89
HELZ2	P1_I6_M1	0.84
SAMD10	P1_I6_M1	0.94
TNNT3	P1_I6_M8	0.96
TNNI2	P1_I6_M8	0.96
ATXN10	P1_I6_M4	0.82
CALY	P1_I6_M3	0.96
CYP2E1	P1_I6_M6	0.99
HBZ	P1_I6_M1	0.99
MNX1	P1_I6_M1	0.93
TAF4	P1_I6_M1	0.98
GATA5	P1_I6_M1	0.86
RBBP8NL	P1_I6_M1	0.97
PRDM12	P1_I6_M1	0.99
POMT1	P1_I6_M2	0.89
FIBCD1	P1_I6_M1	0.96
EIF2S3	P1_I6_M14	0.86
ZC3H4	P1_I6_M1	0.88
NPAS1	P1_I6_M1	0.98
GMFG	P1_I6_M5	0.85
ARHGEF16	P1_I6_M9	0.86
MED18	P1_I6_M1	0.85
CLIP1	P1_I6_M7	0.8
CCDC62	P1_I6_M2	0.99
ANGPTL6	P1_I6_M1	0.92
PLXNA3	P1_I6_M1	0.91
ZNF331	P1_I6_M17	0.9
ZNF236	P1_I6_M1	0.94
SLC7A10	P1_I6_M1	0.98
PKDREJ	P1_I6_M1	0.99
HSD17B3	P1_I6_M2	0.99
NUTM2F	P1_I6_M1	0.99
FBP2	P1_I6_M8	0.96
POLN	P1_I6_M1	1.0
PPIL4	P1_I6_M4	0.87
ULBP2	P1_I6_M1	0.99
ULBP3	P1_I6_M1	0.94
AAR2	P1_I6_M4	0.89
TTLL9	P1_I6_M1	0.97
BPIFA2	P1_I6_M19	1.0
BPIFA3	P1_I6_M2	0.98
ZNF341	P1_I6_M1	1.0
DEFB118	P1_I6_M11	0.99
EDA2R	P1_I6_M1	0.85
ARHGEF9	P1_I6_M3	0.95
GFAP	P1_I6_M3	0.96
ZNF428	P1_I6_M3	0.82
TEX101	P1_I6_M2	0.97
CCL25	P1_I6_M9	0.95
EMC8	P1_I6_M1	0.8
GSE1	P1_I6_M7	0.88
RP11-178L8.4	P1_I6_M1	0.99
GINS2	P1_I6_M1	0.85
SLC34A1	P1_I6_M12	0.99
F12	P1_I6_M6	0.99
PRR7	P1_I6_M1	0.97
GJA9	P1_I6_M1	1.0
CDX4	P1_I6_M1	0.99
HAUS8	P1_I6_M1	0.83
ADGRE3	P1_I6_M1	0.92
TBC1D5	P1_I6_M4	0.92
CAPN7	P1_I6_M4	0.87
C3orf20	P1_I6_M1	0.97
LRRC4B	P1_I6_M3	0.95
TUBG1	P1_I6_M2	0.93
PSME3	P1_I6_M4	0.82
RPL27	P1_I6_M14	0.91
AOC2	P1_I6_M1	0.99
G6PC	P1_I6_M6	0.87
EXOC4	P1_I6_M4	0.88
C1orf159	P1_I6_M1	0.88
KREMEN2	P1_I6_M1	0.97
BARX1	P1_I6_M1	0.93
CA6	P1_I6_M19	1.0
NPHP4	P1_I6_M1	0.92
MAP1B	P1_I6_M3	0.96
RHOXF2	P1_I6_M1	0.87
CKMT2	P1_I6_M16	0.94
KRT34	P1_I6_M1	0.98
KRT33B	P1_I6_M1	0.99
TNS4	P1_I6_M10	0.82
KHDRBS3	P1_I6_M2	0.91
PEX11B	P1_I6_M4	0.86
FMO5	P1_I6_M6	0.93
FSHB	P1_I6_M1	0.99
ZNF304	P1_I6_M1	0.83
ZSCAN5A	P1_I6_M2	0.92
ZNF132	P1_I6_M1	0.92
USP29	P1_I6_M1	0.98
LLGL1	P1_I6_M1	0.83
LIN28A	P1_I6_M1	0.99
THAP1	P1_I6_M1	0.84
FAAP24	P1_I6_M1	0.96
LRRC9	P1_I6_M1	0.96
ACTR10	P1_I6_M1	0.89
ABHD12B	P1_I6_M1	0.89
PODNL1	P1_I6_M1	0.91
ZSWIM4	P1_I6_M1	0.96
FBXW9	P1_I6_M1	0.82
RFX1	P1_I6_M1	0.9
ZNF20	P1_I6_M1	0.96
C19orf57	P1_I6_M1	0.81
RTBDN	P1_I6_M1	0.91
SPATA6	P1_I6_M2	0.97
LRRC41	P1_I6_M4	0.84
CCT6B	P1_I6_M2	0.96
DHX30	P1_I6_M4	0.86
SLC6A11	P1_I6_M1	0.86
NUP210	P1_I6_M5	0.91
EMILIN2	P1_I6_M7	0.96
SLX1A	P1_I6_M9	0.86
RRP8	P1_I6_M1	0.84
TIMM10B	P1_I6_M4	0.9
EFR3A	P1_I6_M4	0.82
HHLA1	P1_I6_M1	0.99
SCLY	P1_I6_M1	0.9
RPA1	P1_I6_M4	0.81
TMEM128	P1_I6_M4	0.85
POPDC3	P1_I6_M8	0.87
FTHL17	P1_I6_M1	1.0
ENAM	P1_I6_M1	0.94
ANKRD17	P1_I6_M4	0.89
WBP2	P1_I6_M3	0.84
GUCY2D	P1_I6_M1	0.99
DLG4	P1_I6_M3	0.98
RIDA	P1_I6_M6	0.86
VPS13B	P1_I6_M1	0.85
RGS22	P1_I6_M2	0.98
REEP2	P1_I6_M3	0.98
ERAL1	P1_I6_M4	0.86
MTSS1L	P1_I6_M3	0.9
SCP2D1	P1_I6_M2	0.98
PCED1A	P1_I6_M4	0.81
SNAP25	P1_I6_M3	0.96
POLR3F	P1_I6_M1	0.91
PTPRA	P1_I6_M4	0.83
SSTR4	P1_I6_M1	0.99
RHBG	P1_I6_M1	0.98
ATP1A4	P1_I6_M1	0.84
BCAN	P1_I6_M3	0.97
CRP	P1_I6_M6	0.95
APCS	P1_I6_M6	0.99
FCRL2	P1_I6_M5	0.91
SYT11	P1_I6_M3	0.97
ACY3	P1_I6_M9	0.89
TESMIN	P1_I6_M2	0.99
MMACHC	P1_I6_M1	0.94
DPH2	P1_I6_M1	0.82
TOE1	P1_I6_M1	0.95
MUTYH	P1_I6_M1	0.89
ZSWIM3	P1_I6_M1	0.99
PPP1R3D	P1_I6_M1	0.92
DMGDH	P1_I6_M12	0.85
BHMT2	P1_I6_M12	0.88
ANGPTL3	P1_I6_M6	0.99
SYT4	P1_I6_M3	0.97
SLC14A2	P1_I6_M1	0.99
FBXO44	P1_I6_M3	0.84
RSG1	P1_I6_M1	0.91
NMUR2	P1_I6_M1	1.0
ZMYM5	P1_I6_M2	0.92
USPL1	P1_I6_M2	0.81
XPO4	P1_I6_M1	0.85
TPTE2	P1_I6_M1	0.96
CDK8	P1_I6_M1	0.87
WASF3	P1_I6_M3	0.92
RNF17	P1_I6_M2	0.96
GPR12	P1_I6_M1	0.97
CHRM3	P1_I6_M1	0.86
PEMT	P1_I6_M11	0.92
MYBPH	P1_I6_M1	0.95
LGR6	P1_I6_M1	0.87
TMCC2	P1_I6_M13	0.9
DCLK1	P1_I6_M3	0.97
CCNA1	P1_I6_M2	0.92
RXFP2	P1_I6_M1	0.99
EPSTI1	P1_I6_M5	0.81
RFXAP	P1_I6_M1	0.87
GPALPP1	P1_I6_M1	0.81
KL	P1_I6_M7	0.9
IRS4	P1_I6_M1	0.98
BEX1	P1_I6_M3	0.92
FAM104A	P1_I6_M2	0.95
PRAM1	P1_I6_M13	0.96
KMT5C	P1_I6_M1	0.98
ZNF414	P1_I6_M1	0.87
SLF1	P1_I6_M1	0.96
MACROD1	P1_I6_M8	0.97
WDR74	P1_I6_M13	0.82
RTN3	P1_I6_M3	0.92
HRASLS2	P1_I6_M9	0.95
MORC2	P1_I6_M2	0.89
SLC2A11	P1_I6_M1	0.93
GGT2	P1_I6_M1	0.99
GIMAP4	P1_I6_M5	0.86
AGAP3	P1_I6_M3	0.82
KRBA1	P1_I6_M1	0.86
ACTR3B	P1_I6_M3	0.9
IPO8	P1_I6_M7	0.92
LARS	P1_I6_M4	0.89
SPINK5	P1_I6_M15	0.97
LRRCC1	P1_I6_M2	0.97
TEX15	P1_I6_M1	0.81
DUSP26	P1_I6_M8	0.92
DPF2	P1_I6_M4	0.81
GSC	P1_I6_M1	0.99
UNC79	P1_I6_M1	0.99
CATSPERB	P1_I6_M1	0.99
VRTN	P1_I6_M1	0.99
ADAM20	P1_I6_M1	0.98
PEBP4	P1_I6_M11	0.82
MRO	P1_I6_M2	0.84
CD180	P1_I6_M5	0.88
IRAK2	P1_I6_M1	0.82
THUMPD3	P1_I6_M2	0.9
CNTN6	P1_I6_M1	0.87
CHL1	P1_I6_M3	0.96
TRPM1	P1_I6_M1	0.99
GNAT2	P1_I6_M1	1.0
REG4	P1_I6_M9	0.85
TSHB	P1_I6_M1	0.99
SYT6	P1_I6_M1	0.98
HMGCS2	P1_I6_M6	0.91
PTPN22	P1_I6_M5	0.85
ADAM30	P1_I6_M2	0.96
CD101	P1_I6_M1	0.92
NGF	P1_I6_M1	0.91
NAPG	P1_I6_M3	0.84
ARF3	P1_I6_M3	0.82
KIDINS220	P1_I6_M7	0.84
MYCN	P1_I6_M1	0.89
LPIN1	P1_I6_M2	0.88
CMPK2	P1_I6_M1	0.96
ANO3	P1_I6_M11	0.94
CFHR4	P1_I6_M6	0.97
CDC73	P1_I6_M4	0.86
CRB1	P1_I6_M1	0.94
CFHR5	P1_I6_M6	0.98
RPS15A	P1_I6_M14	0.91
RAX	P1_I6_M1	0.99
GRP	P1_I6_M1	0.88
FBXO18	P1_I6_M4	0.85
ANKRD16	P1_I6_M1	0.93
CCNH	P1_I6_M2	0.84
HRH4	P1_I6_M1	0.99
TMEM241	P1_I6_M1	0.98
DOCK2	P1_I6_M5	0.97
EMP1	P1_I6_M15	0.97
SOX5	P1_I6_M2	0.96
SLCO1B1	P1_I6_M6	1.0
KLRD1	P1_I6_M1	0.84
KLRC1	P1_I6_M1	0.93
SPX	P1_I6_M1	0.89
PRH2	P1_I6_M19	1.0
MYBPC3	P1_I6_M16	0.96
DDB2	P1_I6_M10	0.82
USP26	P1_I6_M1	0.99
SOX3	P1_I6_M1	0.91
MTNR1B	P1_I6_M1	0.99
PUM1	P1_I6_M4	0.91
SPOCD1	P1_I6_M1	0.9
BTF3L4	P1_I6_M4	0.84
ZCCHC11	P1_I6_M4	0.85
DSC2	P1_I6_M15	0.85
DSG3	P1_I6_M15	1.0
RNF138	P1_I6_M2	0.9
DSG1	P1_I6_M10	0.96
DSC3	P1_I6_M10	0.97
DSC1	P1_I6_M10	0.96
DTNA	P1_I6_M3	0.82
TPGS2	P1_I6_M2	0.88
DAGLA	P1_I6_M1	0.88
DHX34	P1_I6_M1	0.85
TMEM258	P1_I6_M11	0.81
C5AR2	P1_I6_M1	0.94
GGACT	P1_I6_M12	0.97
STT3A	P1_I6_M7	0.96
ACRV1	P1_I6_M2	0.98
ETS1	P1_I6_M5	0.89
KLB	P1_I6_M1	0.94
APC	P1_I6_M3	0.95
C9orf40	P1_I6_M1	0.85
ANXA1	P1_I6_M15	0.96
ADAM19	P1_I6_M5	0.86
CCNJL	P1_I6_M1	0.82
SDS	P1_I6_M6	0.99
MSI1	P1_I6_M1	0.82
HRK	P1_I6_M1	0.92
RNFT2	P1_I6_M1	0.92
DTX1	P1_I6_M1	0.84
OCM2	P1_I6_M1	0.99
UGT2A3	P1_I6_M9	0.91
HILPDA	P1_I6_M15	0.87
FAM71F1	P1_I6_M2	0.99
SRPK2	P1_I6_M2	0.86
KCP	P1_I6_M1	0.98
ADGRB3	P1_I6_M3	0.96
HTR1B	P1_I6_M1	0.94
KHDC1	P1_I6_M1	0.96
CEP162	P1_I6_M1	0.91
EPHA7	P1_I6_M7	0.96
ORC3	P1_I6_M4	0.87
LCA5	P1_I6_M7	0.89
MAP3K7	P1_I6_M4	0.89
GJA10	P1_I6_M1	0.99
NAT10	P1_I6_M4	0.88
DNAJC14	P1_I6_M4	0.95
AVIL	P1_I6_M1	0.96
LACRT	P1_I6_M1	0.98
GDF11	P1_I6_M1	0.83
GLS2	P1_I6_M6	0.96
FAM186B	P1_I6_M2	0.99
AGAP2	P1_I6_M3	0.97
KRT85	P1_I6_M1	0.99
PPP1R1A	P1_I6_M8	0.94
TFCP2	P1_I6_M4	0.88
COQ10A	P1_I6_M8	0.87
FAIM2	P1_I6_M3	0.97
ZC3H10	P1_I6_M1	0.97
HNRNPA1	P1_I6_M14	0.88
SLC26A10	P1_I6_M1	0.99
MIP	P1_I6_M1	0.99
LACE1	P1_I6_M1	0.9
TAAR5	P1_I6_M1	0.99
NMBR	P1_I6_M1	1.0
STX11	P1_I6_M13	0.96
TEC	P1_I6_M1	0.97
SEMA4F	P1_I6_M1	0.91
EGR4	P1_I6_M1	0.97
RAB11FIP5	P1_I6_M2	0.93
SMYD5	P1_I6_M4	0.84
CCDC142	P1_I6_M1	0.98
EMX1	P1_I6_M1	0.87
KLHL36	P1_I6_M1	0.83
BCO1	P1_I6_M1	0.86
CHST5	P1_I6_M9	0.93
KIAA0513	P1_I6_M3	0.98
CCDC102A	P1_I6_M1	0.96
SLC9A5	P1_I6_M1	0.97
AGT	P1_I6_M6	0.92
PCNX2	P1_I6_M1	0.9
URB2	P1_I6_M1	0.97
COG2	P1_I6_M7	0.94
NTPCR	P1_I6_M1	0.91
RGS8	P1_I6_M1	0.94
DHX9	P1_I6_M4	0.86
KIAA1614	P1_I6_M1	0.94
RC3H1	P1_I6_M1	0.91
GPR55	P1_I6_M1	0.95
SP110	P1_I6_M5	0.95
CHRND	P1_I6_M1	0.94
PAX3	P1_I6_M1	0.99
TTLL4	P1_I6_M2	0.95
USP37	P1_I6_M1	0.82
WNT10A	P1_I6_M1	0.95
CYP27A1	P1_I6_M6	0.89
TSGA10	P1_I6_M2	0.98
MFSD9	P1_I6_M1	0.91
EDAR	P1_I6_M1	0.98
GPR45	P1_I6_M1	0.99
ANKRD36	P1_I6_M1	0.91
ALDH1L2	P1_I6_M1	0.9
USP44	P1_I6_M2	0.96
PWP1	P1_I6_M4	0.94
PCDH8	P1_I6_M1	0.99
CNMD	P1_I6_M1	0.98
BORA	P1_I6_M1	0.89
C7orf25	P1_I6_M1	0.97
SPDYE1	P1_I6_M1	0.98
CHST12	P1_I6_M1	0.87
RAPGEF5	P1_I6_M7	0.96
NUPL2	P1_I6_M4	0.86
AOAH	P1_I6_M5	0.86
DDX56	P1_I6_M1	0.98
HUS1	P1_I6_M1	0.89
NACAD	P1_I6_M3	0.94
MYO1G	P1_I6_M5	0.9
TTC5	P1_I6_M1	0.93
NKX2-8	P1_I6_M1	1.0
ZFHX2	P1_I6_M1	0.95
MTHFS	P1_I6_M6	0.81
ADAMTS7	P1_I6_M1	0.96
IREB2	P1_I6_M4	0.86
NMT1	P1_I6_M4	0.87
MYCBPAP	P1_I6_M2	0.99
DCAF7	P1_I6_M4	0.83
LIMD2	P1_I6_M5	0.94
BRIP1	P1_I6_M1	0.92
SCN2A	P1_I6_M3	0.96
7-Mar	P1_I6_M4	0.84
ERMN	P1_I6_M3	0.98
BLK	P1_I6_M5	0.91
EPRS	P1_I6_M7	0.88
HLX	P1_I6_M13	0.88
IL10	P1_I6_M1	0.94
IL1RN	P1_I6_M15	0.97
IL36A	P1_I6_M15	0.98
IL36B	P1_I6_M1	0.96
IL1F10	P1_I6_M1	0.98
CFC1	P1_I6_M1	0.91
WDR33	P1_I6_M4	0.88
SAP130	P1_I6_M2	0.97
BIN1	P1_I6_M8	0.94
GAD2	P1_I6_M1	0.82
YME1L1	P1_I6_M4	0.84
ODF2	P1_I6_M2	0.94
FAM129B	P1_I6_M15	0.89
OR1J1	P1_I6_M1	0.99
OR13C9	P1_I6_M1	0.99
STXBP1	P1_I6_M3	0.97
SLC2A8	P1_I6_M2	0.84
ZFP37	P1_I6_M1	0.95
SLC31A2	P1_I6_M19	0.83
ZNF189	P1_I6_M11	0.92
STX17	P1_I6_M4	0.85
BAAT	P1_I6_M6	0.99
TEX10	P1_I6_M2	0.81
GABBR2	P1_I6_M3	0.98
OR1L4	P1_I6_M1	0.99
RPL35	P1_I6_M14	0.92
LMX1B	P1_I6_M1	0.91
DSCC1	P1_I6_M1	0.96
NOV	P1_I6_M17	0.99
UBAP2	P1_I6_M2	0.89
RNF38	P1_I6_M2	0.87
SIT1	P1_I6_M5	0.91
IFNA21	P1_I6_M1	0.99
DMRT1	P1_I6_M2	0.97
CD72	P1_I6_M5	0.93
GRHPR	P1_I6_M6	0.87
ARHGEF39	P1_I6_M1	0.99
RPS6	P1_I6_M14	0.97
TFAP2A	P1_I6_M10	0.81
SLC22A7	P1_I6_M6	0.97
FRS3	P1_I6_M1	0.84
CAPN11	P1_I6_M2	0.98
TINAG	P1_I6_M12	0.97
HCRTR2	P1_I6_M1	0.99
KIAA0319	P1_I6_M1	0.91
TUBB2A	P1_I6_M3	0.95
BPHL	P1_I6_M12	0.92
TUBB2B	P1_I6_M3	0.96
TCF19	P1_I6_M1	0.91
MDC1	P1_I6_M1	0.97
PGBD1	P1_I6_M1	0.96
ATAT1	P1_I6_M1	0.99
CLPS	P1_I6_M18	1.0
NRM	P1_I6_M1	0.99
VARS2	P1_I6_M1	0.98
C6orf52	P1_I6_M1	0.85
FGFBP1	P1_I6_M15	0.99
CPEB2	P1_I6_M2	0.88
MGARP	P1_I6_M17	0.99
TTC29	P1_I6_M2	0.97
ANKRD42	P1_I6_M2	0.9
IL18BP	P1_I6_M5	0.83
CCDC90B	P1_I6_M2	0.83
TTPA	P1_I6_M6	0.97
SLCO5A1	P1_I6_M1	0.98
MMP20	P1_I6_M1	0.99
MMP27	P1_I6_M1	0.97
C11orf70	P1_I6_M2	0.8
TRIM29	P1_I6_M10	0.82
BTG4	P1_I6_M2	0.97
POU2F3	P1_I6_M10	0.95
PPP2R1B	P1_I6_M2	0.91
FDX1	P1_I6_M17	0.99
ARHGAP20	P1_I6_M1	0.84
MMP13	P1_I6_M1	0.99
ALKBH8	P1_I6_M1	0.95
UNC13C	P1_I6_M1	0.85
RTF1	P1_I6_M4	0.94
TUBGCP4	P1_I6_M1	0.92
SMAD6	P1_I6_M1	0.83
PLCB2	P1_I6_M5	0.92
SLC28A2	P1_I6_M9	0.96
BCL2L10	P1_I6_M1	0.96
SPTBN5	P1_I6_M1	0.99
GCOM1	P1_I6_M1	0.96
TTLL7	P1_I6_M3	0.92
BRDT	P1_I6_M2	0.96
SLC44A5	P1_I6_M1	0.88
CGREF1	P1_I6_M3	0.88
PNPT1	P1_I6_M1	0.93
LHCGR	P1_I6_M1	0.99
THUMPD2	P1_I6_M1	0.99
SULT6B1	P1_I6_M1	0.99
PREB	P1_I6_M11	0.83
ABCG5	P1_I6_M9	0.92
PREPL	P1_I6_M3	0.82
SLC3A1	P1_I6_M12	0.95
FBXO11	P1_I6_M4	0.9
CENPO	P1_I6_M1	0.94
TRIM54	P1_I6_M8	0.97
CYP2C9	P1_I6_M6	0.98
MFSD13A	P1_I6_M1	0.89
CYP2C8	P1_I6_M6	0.99
LBX1	P1_I6_M1	0.94
ATAD1	P1_I6_M4	0.81
CUZD1	P1_I6_M18	1.0
CEP55	P1_I6_M2	0.82
KIF20B	P1_I6_M1	0.9
RBP4	P1_I6_M6	0.99
DBR1	P1_I6_M1	0.82
DNAJC13	P1_I6_M4	0.84
ANXA7	P1_I6_M7	0.94
ASCC1	P1_I6_M4	0.86
ZNF365	P1_I6_M3	0.94
OIT3	P1_I6_M6	0.91
ADAMTS14	P1_I6_M1	0.88
RPS24	P1_I6_M14	0.86
TET1	P1_I6_M1	0.99
DNA2	P1_I6_M1	0.97
MYPN	P1_I6_M8	0.97
BARD1	P1_I6_M1	0.93
STAT4	P1_I6_M2	0.87
MSTN	P1_I6_M1	0.99
CARF	P1_I6_M2	0.86
ASNSD1	P1_I6_M4	0.84
SSB	P1_I6_M4	0.84
PPIG	P1_I6_M4	0.87
MDH1B	P1_I6_M2	0.83
CIR1	P1_I6_M4	0.82
CHRNA1	P1_I6_M1	0.96
WDR12	P1_I6_M1	0.98
SLC35A5	P1_I6_M4	0.87
DIRC2	P1_I6_M1	0.87
GUCA1C	P1_I6_M1	0.9
CCDC54	P1_I6_M2	0.97
MNS1	P1_I6_M2	0.95
SPPL2A	P1_I6_M7	0.86
APH1B	P1_I6_M2	0.96
INTS14	P1_I6_M4	0.86
PARP16	P1_I6_M1	0.82
HCN4	P1_I6_M1	0.99
UBL7	P1_I6_M4	0.87
ARHGAP24	P1_I6_M12	0.85
FAM13A	P1_I6_M7	0.83
HERC5	P1_I6_M2	0.95
PCDH10	P1_I6_M3	0.82
NDST4	P1_I6_M1	0.99
ZGRF1	P1_I6_M1	0.98
AP1AR	P1_I6_M7	0.81
FGF5	P1_I6_M1	0.98
GPAT3	P1_I6_M12	0.81
IL21	P1_I6_M1	0.85
KIAA1109	P1_I6_M7	0.91
RAP1GDS1	P1_I6_M3	0.88
LARP1B	P1_I6_M2	0.93
TRPC3	P1_I6_M1	0.99
NUP54	P1_I6_M4	0.82
CENPE	P1_I6_M1	0.94
GSTCD	P1_I6_M1	0.87
CASP6	P1_I6_M9	0.83
EGF	P1_I6_M12	0.96
SEC24B	P1_I6_M4	0.84
PPP3CA	P1_I6_M3	0.83
MTTP	P1_I6_M9	0.91
MAPK8IP3	P1_I6_M3	0.91
TTLL8	P1_I6_M1	0.99
PARVG	P1_I6_M5	0.96
PDE6H	P1_I6_M1	0.99
ERP27	P1_I6_M18	0.94
YARS2	P1_I6_M1	0.92
ALG10	P1_I6_M1	0.99
PLCZ1	P1_I6_M2	0.97
AEBP2	P1_I6_M4	0.89
ETFBKMT	P1_I6_M1	0.94
TMEM117	P1_I6_M1	0.93
CLSTN3	P1_I6_M3	0.87
KLRG1	P1_I6_M1	0.83
CD27	P1_I6_M5	0.9
RBP5	P1_I6_M12	0.91
PIANP	P1_I6_M3	0.96
SLC38A4	P1_I6_M6	0.99
PPFIA2	P1_I6_M3	0.97
ANP32D	P1_I6_M1	0.99
INHBE	P1_I6_M6	0.95
TPH2	P1_I6_M1	0.99
PTPRQ	P1_I6_M1	0.98
KERA	P1_I6_M1	0.99
SYCP3	P1_I6_M2	0.97
ASCL1	P1_I6_M1	0.88
GAS2L3	P1_I6_M1	0.96
TMEM132B	P1_I6_M1	0.84
FOXN4	P1_I6_M1	0.97
NUP58	P1_I6_M2	0.9
SUOX	P1_I6_M7	0.88
CCDC65	P1_I6_M2	0.88
SLC39A5	P1_I6_M9	0.91
RDH16	P1_I6_M6	1.0
DHH	P1_I6_M1	0.87
NPFF	P1_I6_M11	0.99
CELA1	P1_I6_M1	0.99
SMARCC2	P1_I6_M4	0.86
BRCA2	P1_I6_M1	0.98
ITGB7	P1_I6_M5	0.92
C12orf10	P1_I6_M2	0.83
KRT71	P1_I6_M1	0.98
ZNF740	P1_I6_M1	0.83
HNRNPA1L2	P1_I6_M1	0.97
SBNO1	P1_I6_M2	0.97
MORN3	P1_I6_M1	0.98
VPS33A	P1_I6_M1	0.86
DENR	P1_I6_M7	0.89
SLAIN1	P1_I6_M3	0.96
RBM26	P1_I6_M4	0.83
SRRM4	P1_I6_M1	0.93
METTL21C	P1_I6_M11	0.88
RNF113B	P1_I6_M2	0.98
ZIC5	P1_I6_M1	0.99
ABHD13	P1_I6_M1	0.84
GRTP1	P1_I6_M9	0.89
CDH24	P1_I6_M1	0.95
REM2	P1_I6_M1	0.97
TSSK4	P1_I6_M2	0.93
NOVA1	P1_I6_M3	0.87
FITM1	P1_I6_M8	0.98
MDGA2	P1_I6_M1	0.98
RTN1	P1_I6_M3	0.97
C14orf37	P1_I6_M1	0.93
SYT16	P1_I6_M1	0.88
ADAM21	P1_I6_M1	0.93
RDH12	P1_I6_M10	0.86
ESR2	P1_I6_M1	0.95
KCNH5	P1_I6_M1	0.99
EFCAB11	P1_I6_M2	0.97
FAM181A	P1_I6_M1	0.94
SLC24A4	P1_I6_M1	0.98
SERPINA10	P1_I6_M6	1.0
SLC25A47	P1_I6_M6	0.98
SLC12A6	P1_I6_M2	0.87
MFAP1	P1_I6_M4	0.94
HDC	P1_I6_M11	0.87
GTF2A2	P1_I6_M2	0.9
DISP2	P1_I6_M1	0.98
CDAN1	P1_I6_M1	0.88
PSTPIP1	P1_I6_M13	0.84
BCL2A1	P1_I6_M13	0.93
NEIL1	P1_I6_M1	0.9
MESDC1	P1_I6_M1	0.87
TPM1	P1_I6_M16	0.88
PIF1	P1_I6_M1	0.97
CYP11A1	P1_I6_M17	0.99
ADAMTS17	P1_I6_M1	0.99
GOLGA6D	P1_I6_M1	0.9
CELF6	P1_I6_M1	0.9
CYP1A2	P1_I6_M6	1.0
HAPLN3	P1_I6_M1	0.87
RHCG	P1_I6_M15	0.98
RLBP1	P1_I6_M1	0.98
FANCI	P1_I6_M2	0.83
WDR93	P1_I6_M1	0.81
TICRR	P1_I6_M1	0.99
DET1	P1_I6_M1	0.84
ST8SIA2	P1_I6_M1	0.99
12-Sep	P1_I6_M2	0.99
ITGAX	P1_I6_M5	0.86
ARMC5	P1_I6_M1	0.91
ABCC12	P1_I6_M1	1.0
NKD1	P1_I6_M1	0.93
MARVELD3	P1_I6_M9	0.85
NLRC5	P1_I6_M5	0.94
CMTM2	P1_I6_M2	0.94
MBTPS1	P1_I6_M4	0.84
ZCCHC14	P1_I6_M2	0.91
TLDC1	P1_I6_M1	0.82
OSGIN1	P1_I6_M6	0.82
IRF8	P1_I6_M5	0.9
RPL3L	P1_I6_M8	0.99
ZSCAN32	P1_I6_M1	0.87
RPS2	P1_I6_M14	0.9
NDUFB10	P1_I6_M8	0.88
PDPK1	P1_I6_M7	0.86
TIGD7	P1_I6_M1	0.83
NCOR1	P1_I6_M4	0.83
GID4	P1_I6_M2	0.97
ZNF287	P1_I6_M1	0.91
CTRL	P1_I6_M18	1.0
DPEP3	P1_I6_M2	0.98
UNC45B	P1_I6_M16	0.84
OR4D1	P1_I6_M1	0.99
KIF2B	P1_I6_M2	0.98
C17orf80	P1_I6_M2	0.9
VPS53	P1_I6_M1	0.96
SPATA22	P1_I6_M2	0.95
RHBDL3	P1_I6_M1	0.84
SPACA3	P1_I6_M2	0.99
ARSG	P1_I6_M11	0.86
C17orf64	P1_I6_M2	0.97
SS18	P1_I6_M4	0.9
TAF4B	P1_I6_M1	0.99
PRELID3A	P1_I6_M1	0.84
C18orf21	P1_I6_M2	0.81
ASXL3	P1_I6_M1	0.99
MEP1B	P1_I6_M9	0.94
SLC25A52	P1_I6_M1	0.93
GAREM1	P1_I6_M1	0.82
ESCO1	P1_I6_M2	0.86
GREB1L	P1_I6_M1	0.94
NPC1	P1_I6_M7	0.86
SLC13A5	P1_I6_M6	0.98
ASGR1	P1_I6_M6	0.99
PIK3R5	P1_I6_M13	0.87
TMC6	P1_I6_M5	0.93
CARD14	P1_I6_M1	0.85
TTYH2	P1_I6_M3	0.98
RAB40B	P1_I6_M3	0.89
NARF	P1_I6_M2	0.89
RPTOR	P1_I6_M1	0.93
CBX8	P1_I6_M1	0.91
SECTM1	P1_I6_M9	0.8
CEP131	P1_I6_M1	0.85
CBX4	P1_I6_M13	0.94
RNF165	P1_I6_M1	0.92
MBD1	P1_I6_M2	0.83
SMAD4	P1_I6_M4	0.89
FBXO15	P1_I6_M1	0.98
PMAIP1	P1_I6_M13	0.88
PNMT	P1_I6_M17	0.99
ARL5C	P1_I6_M1	0.99
CACNA1A	P1_I6_M1	0.91
MISP3	P1_I6_M1	0.89
SLC39A3	P1_I6_M2	0.85
TPGS1	P1_I6_M1	0.96
ZIM3	P1_I6_M1	0.99
PRDM15	P1_I6_M1	0.96
FEM1A	P1_I6_M8	0.98
VAV1	P1_I6_M5	0.97
CIB3	P1_I6_M1	0.99
DMRTC2	P1_I6_M2	0.97
ZFP14	P1_I6_M1	0.94
HUNK	P1_I6_M1	0.95
DNMT3L	P1_I6_M1	0.91
SCYL1	P1_I6_M4	0.83
