Gene	Module	kME
RHBDF2	P1_I1_M7	0.89
AANAT	P1_I1_M1	0.99
MAP7D3	P1_I1_M6	0.82
FGF13	P1_I1_M8	0.9
ASH2L	P1_I1_M4	0.85
TTI2	P1_I1_M3	0.93
CDKN1C	P1_I1_M15	0.94
VCY1B	P1_I1_M3	0.99
VCY	P1_I1_M3	0.99
CDY2B	P1_I1_M1	0.99
CDH15	P1_I1_M1	0.9
KLF16	P1_I1_M1	0.83
DOHH	P1_I1_M1	0.8
PLPPR3	P1_I1_M1	0.92
INS-IGF2	P1_I1_M1	0.98
LBP	P1_I1_M9	0.99
SYT5	P1_I1_M5	0.99
TNNI3	P1_I1_M25	0.93
CBFA2T3	P1_I1_M1	0.81
GAMT	P1_I1_M11	0.84
ERMARD	P1_I1_M6	0.84
PHF10	P1_I1_M4	0.81
PRRG3	P1_I1_M1	0.93
KCNA5	P1_I1_M33	0.95
NXNL2	P1_I1_M1	0.96
FAM155B	P1_I1_M1	0.83
GNL3L	P1_I1_M1	0.82
ELOF1	P1_I1_M2	0.84
TSPAN16	P1_I1_M2	0.98
ANGPTL8	P1_I1_M9	0.95
CDC16	P1_I1_M4	0.84
ZSCAN10	P1_I1_M1	0.99
APOC1	P1_I1_M9	0.97
LRCH2	P1_I1_M1	0.82
DPP6	P1_I1_M5	0.86
XPO7	P1_I1_M4	0.9
ACE2	P1_I1_M12	0.86
SAFB2	P1_I1_M4	0.81
RPL36	P1_I1_M21	0.81
ATP8B3	P1_I1_M3	0.99
GDF1	P1_I1_M1	0.94
NCAN	P1_I1_M5	0.98
KIF1A	P1_I1_M5	0.97
GTPBP3	P1_I1_M1	0.91
USHBP1	P1_I1_M1	0.96
DDA1	P1_I1_M1	0.91
TULP4	P1_I1_M1	0.92
RTN4IP1	P1_I1_M1	0.88
RSPH3	P1_I1_M6	0.85
MAS1	P1_I1_M1	0.99
ACSBG2	P1_I1_M2	0.97
FUT5	P1_I1_M1	0.99
BMP15	P1_I1_M1	0.99
NDUFA10	P1_I1_M24	0.83
EPO	P1_I1_M1	0.99
ARPC1B	P1_I1_M7	0.86
UNC13A	P1_I1_M5	0.97
KLHDC7B	P1_I1_M1	0.92
PXDN	P1_I1_M18	0.82
KIAA1683	P1_I1_M3	0.98
HRC	P1_I1_M25	0.99
OR11H1	P1_I1_M1	0.99
SULT4A1	P1_I1_M5	0.99
ZNF557	P1_I1_M1	0.99
OLFM1	P1_I1_M5	0.94
SAG	P1_I1_M1	0.99
ZBTB46	P1_I1_M1	0.89
HELZ2	P1_I1_M1	0.84
SAMD10	P1_I1_M1	0.94
TNNT3	P1_I1_M11	0.96
TNNI2	P1_I1_M11	0.96
COL5A1	P1_I1_M18	0.81
ATXN10	P1_I1_M13	0.92
TUBGCP2	P1_I1_M6	0.86
CALY	P1_I1_M5	0.97
CYP2E1	P1_I1_M9	0.98
HBZ	P1_I1_M1	0.99
MNX1	P1_I1_M1	0.93
ZNF337	P1_I1_M6	0.86
TAF4	P1_I1_M1	0.98
GATA5	P1_I1_M1	0.86
RBBP8NL	P1_I1_M1	0.96
PRDM12	P1_I1_M1	0.99
POMT1	P1_I1_M2	0.9
UCK1	P1_I1_M6	0.86
FIBCD1	P1_I1_M1	0.96
PRRC2B	P1_I1_M13	0.88
UBE2M	P1_I1_M13	0.84
EIF2S3	P1_I1_M21	0.86
ZC3H4	P1_I1_M1	0.88
NPAS1	P1_I1_M1	0.98
GMFG	P1_I1_M7	0.85
ARHGEF16	P1_I1_M12	0.87
LRRC47	P1_I1_M6	0.82
MED18	P1_I1_M1	0.86
CLIP1	P1_I1_M8	0.8
CCDC62	P1_I1_M2	0.99
ANGPTL6	P1_I1_M1	0.92
PLXNA3	P1_I1_M1	0.92
DUSP9	P1_I1_M15	0.95
ZNF331	P1_I1_M23	0.9
ZNF236	P1_I1_M1	0.94
SLC7A10	P1_I1_M1	0.98
PKDREJ	P1_I1_M1	0.99
HSD17B3	P1_I1_M2	0.98
NUTM2F	P1_I1_M1	0.99
FBP2	P1_I1_M11	0.96
SLC35D2	P1_I1_M12	0.8
POLN	P1_I1_M1	0.99
PPIL4	P1_I1_M4	0.88
ULBP2	P1_I1_M1	0.98
AKAP12	P1_I1_M2	0.81
ULBP3	P1_I1_M1	0.93
LATS1	P1_I1_M6	0.92
LILRB2	P1_I1_M14	0.81
AAR2	P1_I1_M4	0.88
TTLL9	P1_I1_M1	0.97
BPIFA2	P1_I1_M32	1.0
COX4I2	P1_I1_M15	0.97
BPIFA3	P1_I1_M2	0.96
ZNF341	P1_I1_M1	1.0
GGT7	P1_I1_M13	0.81
DEFB118	P1_I1_M16	0.98
EDA2R	P1_I1_M1	0.86
ARHGEF9	P1_I1_M5	0.95
C1QL1	P1_I1_M5	0.92
GFAP	P1_I1_M5	0.94
PYY	P1_I1_M26	0.9
HIGD1B	P1_I1_M15	0.96
ATP6V1E1	P1_I1_M13	0.86
ZNF227	P1_I1_M6	0.95
ZNF428	P1_I1_M5	0.82
TEX101	P1_I1_M2	0.98
CCL25	P1_I1_M12	0.94
EMC8	P1_I1_M1	0.81
GSE1	P1_I1_M8	0.88
RP11-178L8.4	P1_I1_M1	0.99
GINS2	P1_I1_M3	0.84
SH3BGRL	P1_I1_M18	0.85
COX7B	P1_I1_M24	0.82
SLC34A1	P1_I1_M19	0.98
F12	P1_I1_M9	0.99
PRR7	P1_I1_M1	0.97
IDO1	P1_I1_M15	0.87
GJA9	P1_I1_M1	0.99
CDX4	P1_I1_M1	0.99
HAUS8	P1_I1_M3	0.89
ADGRE3	P1_I1_M1	0.92
TBC1D5	P1_I1_M4	0.9
CAPN7	P1_I1_M6	0.88
C3orf20	P1_I1_M1	0.96
KCNC3	P1_I1_M8	0.85
NAPSA	P1_I1_M28	0.98
LRRC4B	P1_I1_M5	0.97
PDLIM4	P1_I1_M18	0.84
TUBG1	P1_I1_M2	0.95
PSME3	P1_I1_M4	0.85
RPL27	P1_I1_M21	0.91
PSMC3IP	P1_I1_M3	0.96
AOC2	P1_I1_M1	0.99
G6PC	P1_I1_M9	0.88
ANKHD1	P1_I1_M4	0.84
NDFIP1	P1_I1_M13	0.85
EXOC4	P1_I1_M13	0.82
C1orf159	P1_I1_M1	0.87
KREMEN2	P1_I1_M1	0.97
BARX1	P1_I1_M1	0.93
CA6	P1_I1_M32	1.0
NPHP4	P1_I1_M1	0.92
MAP1B	P1_I1_M5	0.95
RHOXF2	P1_I1_M3	0.98
WDR44	P1_I1_M6	0.88
CKMT2	P1_I1_M25	0.96
KRT34	P1_I1_M1	0.98
KRT33B	P1_I1_M1	0.99
TNS4	P1_I1_M10	0.83
TOP2A	P1_I1_M2	0.81
KHDRBS3	P1_I1_M2	0.93
PEX11B	P1_I1_M4	0.87
FMO5	P1_I1_M9	0.93
FSHB	P1_I1_M1	0.99
PDHA1	P1_I1_M24	0.92
RAI2	P1_I1_M18	0.8
ZNF304	P1_I1_M1	0.84
ZSCAN5A	P1_I1_M3	0.96
ZNF132	P1_I1_M1	0.93
USP29	P1_I1_M1	0.97
LLGL1	P1_I1_M1	0.84
LIN28A	P1_I1_M1	0.99
THAP1	P1_I1_M1	0.84
FAAP24	P1_I1_M1	0.95
LRRC9	P1_I1_M1	0.96
ACTR10	P1_I1_M1	0.9
ABHD12B	P1_I1_M1	0.89
LGALS3	P1_I1_M26	0.8
PODNL1	P1_I1_M1	0.91
ZSWIM4	P1_I1_M1	0.96
FBXW9	P1_I1_M17	0.85
RFX1	P1_I1_M3	0.94
ZNF20	P1_I1_M1	0.95
C19orf57	P1_I1_M3	0.91
RTBDN	P1_I1_M1	0.91
SPATA6	P1_I1_M2	0.97
LRRC41	P1_I1_M4	0.85
CCT6B	P1_I1_M2	0.97
DHX30	P1_I1_M4	0.82
SLC6A11	P1_I1_M1	0.86
NUP210	P1_I1_M7	0.91
EMILIN2	P1_I1_M8	0.91
SLX1A	P1_I1_M12	0.87
CNGA4	P1_I1_M17	0.94
RRP8	P1_I1_M1	0.85
TIMM10B	P1_I1_M4	0.88
EFR3A	P1_I1_M13	0.91
HHLA1	P1_I1_M1	0.99
PTCD3	P1_I1_M3	0.82
IMMT	P1_I1_M24	0.84
ILKAP	P1_I1_M6	0.87
SCLY	P1_I1_M1	0.9
RPA1	P1_I1_M4	0.81
EEFSEC	P1_I1_M6	0.88
TMEM128	P1_I1_M4	0.86
POPDC3	P1_I1_M11	0.89
LANCL2	P1_I1_M5	0.88
FTHL17	P1_I1_M1	0.99
ENAM	P1_I1_M1	0.94
JCHAIN	P1_I1_M26	0.82
ANKRD17	P1_I1_M4	0.86
WBP2	P1_I1_M13	0.85
ZRANB2	P1_I1_M4	0.82
GUCY2D	P1_I1_M1	0.99
GPS2	P1_I1_M2	0.84
DLG4	P1_I1_M5	0.97
RIDA	P1_I1_M9	0.87
VPS13B	P1_I1_M1	0.86
RGS22	P1_I1_M2	0.99
REEP2	P1_I1_M5	0.98
ERAL1	P1_I1_M4	0.85
PRMT7	P1_I1_M6	0.81
MTSS1L	P1_I1_M5	0.88
ANKEF1	P1_I1_M3	0.94
SCP2D1	P1_I1_M2	0.97
PCED1A	P1_I1_M4	0.8
SNAP25	P1_I1_M5	0.94
POLR3F	P1_I1_M1	0.91
PTPRA	P1_I1_M13	0.95
SSTR4	P1_I1_M1	0.99
RHBG	P1_I1_M1	0.98
ATP1A4	P1_I1_M3	0.92
BCAN	P1_I1_M5	0.96
CRP	P1_I1_M9	0.95
ARHGEF11	P1_I1_M8	0.82
RAB25	P1_I1_M20	0.8
HAPLN2	P1_I1_M5	0.94
APCS	P1_I1_M9	0.98
FCRL2	P1_I1_M7	0.91
SYT11	P1_I1_M5	0.96
IGHMBP2	P1_I1_M3	0.97
ACY3	P1_I1_M12	0.89
TESMIN	P1_I1_M2	0.99
MMACHC	P1_I1_M1	0.94
DPH2	P1_I1_M1	0.83
TOE1	P1_I1_M1	0.95
MUTYH	P1_I1_M1	0.9
ZSWIM3	P1_I1_M1	0.99
OSER1	P1_I1_M2	0.84
PPP1R3D	P1_I1_M1	0.92
DMGDH	P1_I1_M19	0.84
BHMT2	P1_I1_M19	0.88
ZBED3	P1_I1_M6	0.82
ANGPTL3	P1_I1_M9	0.99
SYT4	P1_I1_M5	0.97
SLC14A2	P1_I1_M1	0.99
FBXO44	P1_I1_M5	0.83
RSG1	P1_I1_M1	0.92
NMUR2	P1_I1_M1	0.99
DCTN4	P1_I1_M13	0.88
MTUS2	P1_I1_M33	0.97
ZMYM5	P1_I1_M2	0.91
USPL1	P1_I1_M3	0.83
XPO4	P1_I1_M1	0.85
TPTE2	P1_I1_M1	0.95
CDK8	P1_I1_M3	0.9
WASF3	P1_I1_M5	0.92
RNF17	P1_I1_M2	0.94
GPR12	P1_I1_M1	0.97
CHRM3	P1_I1_M1	0.86
PEMT	P1_I1_M16	0.92
MYBPH	P1_I1_M1	0.94
LGR6	P1_I1_M1	0.87
TMCC2	P1_I1_M14	0.93
DCLK1	P1_I1_M5	0.97
CCNA1	P1_I1_M2	0.92
COG6	P1_I1_M6	0.89
RXFP2	P1_I1_M1	0.99
EPSTI1	P1_I1_M7	0.82
RFXAP	P1_I1_M1	0.88
GPALPP1	P1_I1_M1	0.82
STOML3	P1_I1_M17	0.97
KL	P1_I1_M8	0.86
IRS4	P1_I1_M1	0.98
MORC4	P1_I1_M15	0.9
BEX1	P1_I1_M5	0.9
FAM104A	P1_I1_M2	0.97
PRAM1	P1_I1_M14	0.99
KMT5C	P1_I1_M1	0.98
ZNF414	P1_I1_M1	0.87
SLF1	P1_I1_M1	0.95
MACROD1	P1_I1_M11	0.97
WDR74	P1_I1_M14	0.8
RTN3	P1_I1_M5	0.89
HRASLS2	P1_I1_M12	0.96
MORC2	P1_I1_M2	0.89
GSTT2B	P1_I1_M34	0.98
MYO18B	P1_I1_M25	0.84
SLC2A11	P1_I1_M1	0.94
GGT2	P1_I1_M1	0.99
SEC14L4	P1_I1_M1	0.87
GIMAP4	P1_I1_M7	0.87
AGAP3	P1_I1_M5	0.81
KRBA1	P1_I1_M1	0.86
ACTR3B	P1_I1_M5	0.91
LRRIQ1	P1_I1_M3	0.95
SFTPD	P1_I1_M28	0.99
DYDC2	P1_I1_M17	0.94
IPO8	P1_I1_M8	0.93
LARS	P1_I1_M4	0.9
SPINK5	P1_I1_M20	0.96
LRRCC1	P1_I1_M2	0.97
SWAP70	P1_I1_M7	0.81
LYVE1	P1_I1_M15	0.83
SBF2	P1_I1_M6	0.89
TEX15	P1_I1_M3	0.93
SARAF	P1_I1_M13	0.82
DUSP26	P1_I1_M11	0.92
DPF2	P1_I1_M4	0.8
C14orf1	P1_I1_M2	0.8
GSC	P1_I1_M1	0.99
UNC79	P1_I1_M1	0.99
CATSPERB	P1_I1_M1	0.99
VRTN	P1_I1_M1	0.99
TTC9	P1_I1_M20	0.84
EIF2S1	P1_I1_M4	0.8
ADAM20	P1_I1_M1	0.97
PEBP4	P1_I1_M16	0.81
MRO	P1_I1_M2	0.83
CDK7	P1_I1_M3	0.87
CD180	P1_I1_M7	0.87
IRAK2	P1_I1_M1	0.82
CAMK1	P1_I1_M23	0.83
THUMPD3	P1_I1_M2	0.92
ARL8B	P1_I1_M13	0.88
CNTN6	P1_I1_M1	0.87
CHL1	P1_I1_M5	0.96
TRPM1	P1_I1_M1	0.98
GNAT2	P1_I1_M1	0.99
PRPF38B	P1_I1_M7	0.8
REG4	P1_I1_M12	0.84
TSHB	P1_I1_M1	0.99
GSTM5	P1_I1_M34	0.96
SYT6	P1_I1_M1	0.98
PSRC1	P1_I1_M5	0.89
HMGCS2	P1_I1_M9	0.91
PTPN22	P1_I1_M7	0.85
PTGFRN	P1_I1_M18	0.82
ADAM30	P1_I1_M2	0.95
CD101	P1_I1_M1	0.92
VTCN1	P1_I1_M34	0.92
NGF	P1_I1_M1	0.91
NAPG	P1_I1_M5	0.85
ARF3	P1_I1_M13	0.87
YWHAQ	P1_I1_M13	0.86
KIDINS220	P1_I1_M8	0.87
MYCN	P1_I1_M1	0.89
LPIN1	P1_I1_M2	0.89
CMPK2	P1_I1_M1	0.96
ANO3	P1_I1_M16	0.95
IL6ST	P1_I1_M15	0.81
CFHR4	P1_I1_M9	0.97
CDC73	P1_I1_M6	0.88
CRB1	P1_I1_M1	0.94
CFHR5	P1_I1_M9	0.98
RPS15A	P1_I1_M21	0.9
RAX	P1_I1_M1	0.99
GRP	P1_I1_M1	0.89
FBXO18	P1_I1_M4	0.86
ANKRD16	P1_I1_M1	0.93
CCNH	P1_I1_M2	0.85
HRH4	P1_I1_M1	0.99
TMEM241	P1_I1_M1	0.99
CABLES1	P1_I1_M8	0.85
DOCK2	P1_I1_M7	0.97
EMP1	P1_I1_M20	0.96
SOX5	P1_I1_M2	0.95
SLCO1B1	P1_I1_M9	0.99
KLRD1	P1_I1_M1	0.84
KLRC1	P1_I1_M1	0.94
SPX	P1_I1_M1	0.89
PRH2	P1_I1_M32	1.0
MYBPC3	P1_I1_M25	0.93
DDB2	P1_I1_M10	0.83
USP26	P1_I1_M1	0.99
SOX3	P1_I1_M1	0.91
RBMX2	P1_I1_M6	0.8
PIWIL4	P1_I1_M3	0.91
MTNR1B	P1_I1_M1	0.99
PUM1	P1_I1_M4	0.91
SPOCD1	P1_I1_M1	0.89
HOOK1	P1_I1_M8	0.8
BTF3L4	P1_I1_M4	0.85
ZCCHC11	P1_I1_M4	0.84
PRPF38A	P1_I1_M6	0.9
DSC2	P1_I1_M20	0.85
DSG3	P1_I1_M20	0.99
RNF138	P1_I1_M2	0.92
DSG1	P1_I1_M10	0.94
DSC3	P1_I1_M10	0.96
DSC1	P1_I1_M10	0.95
DTNA	P1_I1_M5	0.81
TPGS2	P1_I1_M2	0.9
DAGLA	P1_I1_M1	0.88
GIF	P1_I1_M29	0.99
DHX34	P1_I1_M3	0.96
TMEM258	P1_I1_M16	0.8
C5AR2	P1_I1_M1	0.94
CLOCK	P1_I1_M6	0.91
GGACT	P1_I1_M19	0.98
COL4A2	P1_I1_M15	0.87
STT3A	P1_I1_M8	0.91
ACRV1	P1_I1_M2	0.98
ETS1	P1_I1_M7	0.89
KLB	P1_I1_M1	0.94
APC	P1_I1_M5	0.96
UBQLN1	P1_I1_M13	0.9
NAA35	P1_I1_M6	0.9
C9orf40	P1_I1_M3	0.9
ANXA1	P1_I1_M20	0.95
CTSL	P1_I1_M15	0.9
ADAM19	P1_I1_M7	0.86
CCNJL	P1_I1_M3	0.89
USP30	P1_I1_M6	0.86
SDS	P1_I1_M9	0.99
MSI1	P1_I1_M1	0.82
OASL	P1_I1_M14	0.81
HRK	P1_I1_M1	0.92
RNFT2	P1_I1_M1	0.92
DTX1	P1_I1_M1	0.84
OCM2	P1_I1_M1	0.99
CCDC146	P1_I1_M17	0.94
TMEM60	P1_I1_M4	0.83
UGT2A3	P1_I1_M12	0.91
CSN2	P1_I1_M34	1.0
UGT2B28	P1_I1_M34	1.0
HILPDA	P1_I1_M20	0.88
FAM71F1	P1_I1_M2	0.99
RINT1	P1_I1_M1	0.81
SRPK2	P1_I1_M2	0.88
KCP	P1_I1_M1	0.98
MTO1	P1_I1_M6	0.87
ADGRB3	P1_I1_M5	0.97
HTR1B	P1_I1_M1	0.94
KHDC1	P1_I1_M1	0.96
CEP162	P1_I1_M1	0.91
SYNCRIP	P1_I1_M4	0.81
EPHA7	P1_I1_M8	0.92
ORC3	P1_I1_M6	0.87
LCA5	P1_I1_M8	0.93
MAP3K7	P1_I1_M6	0.89
CGA	P1_I1_M15	0.97
GJA10	P1_I1_M1	0.99
NAT10	P1_I1_M4	0.84
ELF5	P1_I1_M34	0.92
CAPRIN1	P1_I1_M4	0.81
DNAJC14	P1_I1_M4	0.93
PRPH	P1_I1_M30	0.88
AVIL	P1_I1_M1	0.96
LACRT	P1_I1_M1	0.98
GDF11	P1_I1_M1	0.84
GLS2	P1_I1_M9	0.97
FAM186B	P1_I1_M2	0.99
AGAP2	P1_I1_M5	0.96
KRT85	P1_I1_M1	0.99
PPP1R1A	P1_I1_M11	0.94
TFCP2	P1_I1_M4	0.86
COQ10A	P1_I1_M11	0.87
FAIM2	P1_I1_M5	0.96
PAN2	P1_I1_M6	0.9
ZC3H10	P1_I1_M1	0.97
HNRNPA1	P1_I1_M21	0.88
SLC26A10	P1_I1_M1	0.99
MIP	P1_I1_M1	0.99
KCNH3	P1_I1_M1	0.81
LACE1	P1_I1_M3	0.95
TAAR5	P1_I1_M1	0.99
NMBR	P1_I1_M1	0.99
STX11	P1_I1_M14	0.96
TEC	P1_I1_M1	0.97
SEMA4F	P1_I1_M1	0.91
CCT7	P1_I1_M4	0.81
EGR4	P1_I1_M1	0.96
RAB11FIP5	P1_I1_M2	0.93
SMYD5	P1_I1_M6	0.87
CCDC142	P1_I1_M1	0.99
EMX1	P1_I1_M1	0.87
KCNMB4	P1_I1_M5	0.88
KLHL36	P1_I1_M3	0.92
BCO1	P1_I1_M1	0.86
CHST5	P1_I1_M12	0.92
KIAA0513	P1_I1_M5	0.98
DYNC1LI2	P1_I1_M13	0.91
CCDC102A	P1_I1_M1	0.97
SLC9A5	P1_I1_M1	0.97
AGT	P1_I1_M9	0.92
PCNX2	P1_I1_M1	0.91
URB2	P1_I1_M1	0.96
CAPN9	P1_I1_M29	0.86
COG2	P1_I1_M8	0.95
ABCB10	P1_I1_M14	0.83
NTPCR	P1_I1_M1	0.92
RGS8	P1_I1_M1	0.94
DHX9	P1_I1_M4	0.88
KIAA1614	P1_I1_M1	0.94
LAMC1	P1_I1_M15	0.88
RC3H1	P1_I1_M1	0.91
GPR55	P1_I1_M1	0.95
SP110	P1_I1_M7	0.96
CHRND	P1_I1_M1	0.94
PAX3	P1_I1_M1	0.99
TTLL4	P1_I1_M2	0.94
USP37	P1_I1_M3	0.96
SERPINE2	P1_I1_M15	0.95
DNAJB2	P1_I1_M13	0.85
WNT10A	P1_I1_M1	0.95
CYP27A1	P1_I1_M9	0.89
REV1	P1_I1_M6	0.89
TSGA10	P1_I1_M2	0.98
MFSD9	P1_I1_M1	0.91
EDAR	P1_I1_M1	0.98
GPR45	P1_I1_M1	0.99
C2orf49	P1_I1_M6	0.88
ANKRD36	P1_I1_M3	0.9
ARHGEF4	P1_I1_M5	0.81
ALDH1L2	P1_I1_M1	0.9
USP44	P1_I1_M2	0.94
PWP1	P1_I1_M4	0.94
DRAM1	P1_I1_M28	0.96
NEK3	P1_I1_M3	0.8
PCDH8	P1_I1_M1	0.99
CNMD	P1_I1_M1	0.97
THSD1	P1_I1_M1	0.8
BORA	P1_I1_M3	0.82
SUCLA2	P1_I1_M24	0.81
EDNRB	P1_I1_M15	0.83
SCRN1	P1_I1_M13	0.88
C7orf25	P1_I1_M1	0.97
SPDYE1	P1_I1_M1	0.98
CHST12	P1_I1_M1	0.87
IGF2BP3	P1_I1_M15	0.87
RAPGEF5	P1_I1_M8	0.9
NUPL2	P1_I1_M6	0.88
AOAH	P1_I1_M7	0.87
DDX56	P1_I1_M1	0.98
HUS1	P1_I1_M1	0.9
NACAD	P1_I1_M5	0.96
MYO1G	P1_I1_M7	0.9
MMD2	P1_I1_M5	0.92
TTC5	P1_I1_M1	0.93
NKX2-8	P1_I1_M1	0.99
ZFHX2	P1_I1_M1	0.94
MTHFS	P1_I1_M9	0.81
ADAMTS7	P1_I1_M1	0.96
ABHD17C	P1_I1_M26	0.85
IREB2	P1_I1_M4	0.86
TM6SF1	P1_I1_M1	0.83
NMT1	P1_I1_M13	0.9
MYCBPAP	P1_I1_M2	0.99
DCAF7	P1_I1_M4	0.82
GH2	P1_I1_M15	0.99
CSH1	P1_I1_M15	0.97
LIMD2	P1_I1_M7	0.93
BRIP1	P1_I1_M3	0.94
ACTL6A	P1_I1_M2	0.82
NDUFB5	P1_I1_M24	0.85
MRPL47	P1_I1_M2	0.8
TRA2B	P1_I1_M4	0.81
SCN2A	P1_I1_M5	0.98
7-Mar	P1_I1_M4	0.86
ERMN	P1_I1_M5	0.97
BLK	P1_I1_M7	0.9
EPRS	P1_I1_M8	0.88
HLX	P1_I1_M14	0.91
VPS45	P1_I1_M13	0.83
IL10	P1_I1_M1	0.94
RPS6KC1	P1_I1_M6	0.87
IL1RN	P1_I1_M20	0.97
IL36A	P1_I1_M20	0.98
IL36B	P1_I1_M1	0.96
IL1F10	P1_I1_M1	0.98
CFC1	P1_I1_M1	0.91
WDR33	P1_I1_M4	0.85
SAP130	P1_I1_M2	0.98
BIN1	P1_I1_M11	0.94
GAD2	P1_I1_M1	0.82
YME1L1	P1_I1_M4	0.89
ODF2	P1_I1_M2	0.96
SMC2	P1_I1_M3	0.82
FAM129B	P1_I1_M20	0.88
OR1J1	P1_I1_M1	0.99
OR13C9	P1_I1_M1	0.99
STXBP1	P1_I1_M5	0.95
SLC2A8	P1_I1_M2	0.84
ZFP37	P1_I1_M1	0.95
SLC31A2	P1_I1_M32	0.82
ZNF189	P1_I1_M16	0.92
STX17	P1_I1_M6	0.87
PRPF4	P1_I1_M6	0.87
BAAT	P1_I1_M9	0.99
TEX10	P1_I1_M3	0.8
GARNL3	P1_I1_M1	0.8
MRPL50	P1_I1_M6	0.84
WDR38	P1_I1_M17	0.95
TSTD2	P1_I1_M6	0.94
GABBR2	P1_I1_M5	0.99
TRMO	P1_I1_M6	0.87
GOLGA1	P1_I1_M3	0.87
OR1L4	P1_I1_M1	0.99
RPL35	P1_I1_M21	0.92
LMX1B	P1_I1_M1	0.91
DSCC1	P1_I1_M1	0.96
NOV	P1_I1_M23	0.98
UBAP2	P1_I1_M2	0.89
APTX	P1_I1_M6	0.86
RNF38	P1_I1_M2	0.89
TLN1	P1_I1_M18	0.83
SIT1	P1_I1_M7	0.9
IFNA21	P1_I1_M1	0.99
DMRT1	P1_I1_M2	0.96
SPAG8	P1_I1_M17	0.94
DCTN3	P1_I1_M13	0.83
CD72	P1_I1_M7	0.92
TMEM8B	P1_I1_M6	0.85
GRHPR	P1_I1_M9	0.87
ARHGEF39	P1_I1_M1	0.99
RPS6	P1_I1_M21	0.97
ZSCAN9	P1_I1_M6	0.87
TFAP2A	P1_I1_M10	0.81
SLC22A7	P1_I1_M9	0.98
FRS3	P1_I1_M3	0.95
CAPN11	P1_I1_M2	0.97
TINAG	P1_I1_M19	0.97
HCRTR2	P1_I1_M1	0.99
KIAA0319	P1_I1_M1	0.91
TUBB2A	P1_I1_M5	0.93
BPHL	P1_I1_M19	0.92
TUBB2B	P1_I1_M5	0.95
TCF19	P1_I1_M1	0.91
MDC1	P1_I1_M1	0.96
PGBD1	P1_I1_M1	0.96
ATAT1	P1_I1_M1	0.99
CLPS	P1_I1_M31	1.0
NRM	P1_I1_M1	0.99
VARS2	P1_I1_M1	0.98
C6orf52	P1_I1_M3	0.92
FGFBP1	P1_I1_M20	0.99
CPEB2	P1_I1_M2	0.87
MGARP	P1_I1_M23	0.99
TTC29	P1_I1_M2	0.97
MYO7A	P1_I1_M30	0.81
THAP12	P1_I1_M4	0.81
ANKRD42	P1_I1_M2	0.91
IL18BP	P1_I1_M7	0.85
CCDC90B	P1_I1_M2	0.85
RNF121	P1_I1_M6	0.83
MRPL15	P1_I1_M24	0.88
TTPA	P1_I1_M9	0.97
SLCO5A1	P1_I1_M1	0.98
NEK1	P1_I1_M6	0.93
NXPE4	P1_I1_M26	0.91
MMP20	P1_I1_M1	0.99
MMP27	P1_I1_M1	0.97
C11orf70	P1_I1_M2	0.8
YAP1	P1_I1_M18	0.86
TRIM29	P1_I1_M10	0.82
BTG4	P1_I1_M2	0.95
POU2F3	P1_I1_M10	0.96
RDX	P1_I1_M23	0.86
PPP2R1B	P1_I1_M2	0.92
FDX1	P1_I1_M23	0.98
ARHGAP20	P1_I1_M1	0.84
MMP13	P1_I1_M1	0.99
TMPRSS13	P1_I1_M10	0.88
ALKBH8	P1_I1_M1	0.95
MAP2K5	P1_I1_M6	0.92
UNC13C	P1_I1_M1	0.84
SQRDL	P1_I1_M26	0.89
KIF23	P1_I1_M3	0.86
KNL1	P1_I1_M3	0.98
RTF1	P1_I1_M4	0.93
PAQR5	P1_I1_M19	0.82
TUBGCP4	P1_I1_M1	0.93
SMAD6	P1_I1_M1	0.84
PLCB2	P1_I1_M7	0.93
SLC28A2	P1_I1_M12	0.96
CYP19A1	P1_I1_M15	0.99
ZNF280D	P1_I1_M6	0.8
BCL2L10	P1_I1_M1	0.96
SPTBN5	P1_I1_M1	0.99
GCOM1	P1_I1_M1	0.95
TTLL7	P1_I1_M5	0.94
BRDT	P1_I1_M2	0.97
SLC44A5	P1_I1_M1	0.88
DNASE2B	P1_I1_M32	0.93
IFT172	P1_I1_M6	0.84
CGREF1	P1_I1_M5	0.9
HADHB	P1_I1_M24	0.9
PPM1B	P1_I1_M8	0.8
PNPT1	P1_I1_M1	0.94
LHCGR	P1_I1_M1	0.99
THUMPD2	P1_I1_M1	0.99
SULT6B1	P1_I1_M1	0.99
PREB	P1_I1_M16	0.83
ABCG5	P1_I1_M12	0.93
PREPL	P1_I1_M13	0.91
SLC3A1	P1_I1_M19	0.94
FBXO11	P1_I1_M4	0.89
SIX3	P1_I1_M8	0.85
CENPO	P1_I1_M3	0.93
TRIM54	P1_I1_M11	0.97
ACTR1A	P1_I1_M13	0.85
CYP2C9	P1_I1_M9	0.98
MFSD13A	P1_I1_M1	0.89
CYP2C8	P1_I1_M9	0.99
LBX1	P1_I1_M1	0.94
ATAD1	P1_I1_M6	0.88
CUZD1	P1_I1_M31	1.0
ARL3	P1_I1_M6	0.81
CEP55	P1_I1_M3	0.86
KIF20B	P1_I1_M3	0.9
RBP4	P1_I1_M9	0.98
DBR1	P1_I1_M1	0.84
DNAJC13	P1_I1_M6	0.85
ANXA7	P1_I1_M8	0.9
